YEAR,MAX,MIN
1947,74.3,61.3
1948,91.2,64.4
1949,83.3,63.3
1950,88.3,65.3
1951,83.3,62.4
1952,82.4,60.3
1953,77.4,51.3
1954,82.4,67.3
1955,80.2,62.4
1956,84.4,54.3
1957,87.3,54.3
1958,82.4,65.3
1959,85.3,57.4
1960,72.3,62.1
1961,82.4,59.0
1962,84.4,51.4
1963,83.3,45.3
1964,83.3,54.3
1965,79.0,52.0
1966,93.9,71.1
1967,79.0,70.0
1968,67.3,53.1
1969,87.1,70.0
1973,88.0,70.0
1974,86.0,69.1
1975,80.1,64.9
1976,97.0,75.9
1977,84.0,59.0
1978,84.9,59.0
1979,89.1,63.0
1980,90.0,62.1
1981,91.0,55.9
1982,84.0,57.0
1983,89.1,62.1
1984,98.1,66.0
1985,91.0,62.1
1986,75.9,55.9
1987,93.0,68.0
1988,97.0,68.0
1989,99.0,71.1
1990,90.0,69.1
1991,82.9,57.0
1992,84.9,66.9
1993,90.0,68.0
1994,73.9,59.0
1995,86.0,61.0
1996,73.9,53.1
1997,78.1,51.1
1998,80.1,64.9
1999,81.0,60.1
2000,89.1,68.0
2001,91.9,70.0
2002,80.1,68.0
2003,82.0,63.0
2004,82.0,61.0
2005,91.0,55.9
2006,88.0,64.9
2007,93.9,69.1
2008,84.9,66.9
2009,82.0,59.0
2010,89.1,69.1
2011,91.0,61.0
2012,91.0,66.0
2013,84.9,73.0
2014,80.1,60.1
2015,82.9,57.9
2016,82.0,60.1
2017,86.0,63.0
2018,91.0,66.9
